store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
EDGEWORTH,-32.925713,151.633905,low,not sensitive,1687,16467.37958,12423.12589,3.617,0.0564,0.084783635,0.053,-0.0261,-0.030218272
EIGHT MILE PLAINS,-27.589971,153.085292,right,not sensitive,1434,14450.80194,10651.45415,3.372,0.0017,0.138769064,-0.023,-0.1204,-0.0370703
ELANORA,-28.133661,153.469338,right,not sensitive,1667,15566.18669,11569.79203,3.1991,0.0281,0.146282566,0.0002,-0.1031,0.099613844
ELIZABETH,-34.719134,138.664219,high,sensitive,1814,18552.78802,13602.31991,3.4815,0.1086,0.315205492,0.0675,-0.1571,-0.001242425
ELIZABETH SHOPPING CENTRE,-34.720109,138.667779,right,sensitive,527,6624.779704,4789.567352,2.9962,-0.11,0.158559929,-0.1437,-0.2318,-0.318953582
ELIZABETH STREET,-37.817801,144.964442,low,not sensitive,1534,13198.9199,9868.813516,3.5515,-0.0006,0.063443175,-0.0239,-0.0602,-0.025967636
ELLENBROOK,-31.781531,115.970139,right,sensitive,2102,23904.0687,17881.80934,3.7403,0.0835,0.231391963,0.0561,-0.1201,-0.036311378
ELSTERNWICK,-37.885667,144.996488,right,not sensitive,2557,21388.32332,15974.80817,3.7739,-0.0204,0.048114859,-0.0399,-0.0654,-0.082859123
ELTHAM,-37.719754,145.136677,low,not sensitive,1794,16641.2012,12439.86183,3.5169,-0.0089,0.063332702,-0.0258,-0.0679,-0.05227456
EMERALD,-23.516945,148.155859,right,sensitive,1460,16891.23302,12675.82476,3.7847,-0.0961,-0.016687813,-0.1215,-0.0808,-0.101498941
EMERTON II,-33.744588,150.809604,low,not sensitive,1846,19582.22725,14371.12848,3.5126,-0.0118,0.116874775,-0.0253,-0.1152,-0.057377654
EMU PLAINS,-33.744259,150.654137,low,not sensitive,1575,16147.06021,12132.50801,3.5802,-0.0192,0.093839249,-0.0353,-0.1033,-0.105602999
