store,lat,long,gpsens,trsens,traffic,sales,gp,avgprice,yoysales,yoyq,yoygp,yoyavgp,yoygc
HIGHFIELDS,-27.451501,151.943912,right,sensitive,897,9342.105392,6971.717656,3.6269,-0.0642,-0.011028813,-0.0865,-0.0538,0.001378888
HIGHPOINT F/C II,-37.774096,144.886695,high,sensitive,744,9504.329416,6941.061636,3.142,-0.0055,0.089452359,-0.0252,-0.0872,-0.113670722
HINCHINBROOK,-33.909304,150.864652,right,sensitive,1653,16966.65016,12522.86484,3.6025,0.0764,0.218043607,0.058,-0.1163,-0.009986293
HINDLEY STREET,-34.92444,138.596402,right,not sensitive,1144,10857.28011,8154.433944,3.4717,0.1159,0.237346742,0.1046,-0.0981,-0.12188591
HOBART CBD TAS,-42.882535,147.327579,right,not sensitive,616,5405.157012,4018.371296,3.4764,-0.037,-0.003524888,-0.0547,-0.0336,-0.008048444
HODDLE ST,-37.806295,144.99294,low,not sensitive,947,8212.023024,6184.22224,3.7443,0.1192,0.216150275,0.0979,-0.0797,0.067328864
HOGANS CORNER,-37.864415,144.684115,right,sensitive,2106,19385.6391,14377.10023,3.8879,0.0016,0.093364205,-0.0184,-0.0839,-0.01693043
HOLLYWOOD PLAZA,-34.768627,138.623602,right,sensitive,391,4796.479472,3528.209692,3.0266,-0.0885,0.097396807,-0.122,-0.1694,-0.172466578
HOLMESGLEN,-37.875829,145.090998,low,not sensitive,1460,12502.3235,9247.945376,3.5267,0.0254,0.144944441,0.0044,-0.1044,0.009928423
HOLMVIEW,-27.710145,153.160925,right,not sensitive,1480,15723.3566,11581.07937,3.367,0.0126,0.132122167,-0.0205,-0.1056,-0.021931583
HOLT ACT,-35.220335,149.018008,right,sensitive,1193,11376.4016,8443.50454,3.5836,-0.0174,0.072535984,-0.0352,-0.0838,-0.020797793
HOPE ISLAND,-27.877867,153.367228,right,not sensitive,1240,11938.61706,8860.172576,3.3019,0.0976,0.185466445,0.0685,-0.0742,0.104303609
HOPPERS CROSSING,-37.881295,144.699833,right,sensitive,2247,21310.83408,15739.6756,3.6046,0.0998,0.217899275,0.0786,-0.097,0.067978612
HORNSBY WESTFIELD,-33.703429,151.101254,right,sensitive,628,7281.121192,5403.19314,3.1193,-0.0584,-0.000302591,-0.075,-0.0581,-0.213598553
HORSHAM,-36.721029,142.194667,right,not sensitive,2473,23714.40892,17653.68028,3.7635,0.0112,0.027883296,-0.0084,-0.0162,-0.047663128
HURLSTONE PARK,-33.904773,151.128405,right,not sensitive,1881,16935.91463,12608.3883,3.6865,-0.0095,0.102496197,-0.0287,-0.1016,-0.128518738
HURSTVILLE CENTRAL,-33.967631,151.102323,low,sensitive,418,4854.902372,3632.67356,2.7151,0.0274,0.121534529,0.0271,-0.084,-0.290034668
HURSTVILLE SOUTH,-33.97848,151.102944,high,sensitive,2083,20043.41254,14967.54574,3.579,0.0555,0.137690485,0.0423,-0.0723,-0.053786675
HURSTVILLE W/F,-33.965829,151.105713,low,not sensitive,755,8912.266052,6551.555968,2.9666,-0.074,-0.030286985,-0.0918,-0.0451,-0.270614693
INALA PLAZA,-27.597631,152.974151,right,not sensitive,550,5830.013348,4290.469036,2.8078,0.0097,0.075727344,-0.0197,-0.0614,-0.102033432
INDOOROOPILLY F/C,-27.499039,152.972478,high,sensitive,544,5982.301836,4376.691716,2.9485,0.1532,0.35467644,0.101,-0.1487,0.063277512
INDOOROOPILLY II,-27.499645,152.976132,right,sensitive,1660,15743.22853,11635.9314,3.4063,0.0854,0.213895394,0.0541,-0.1058,0.121771763
INGHAM,-18.647015,146.161984,right,sensitive,995,11308.67936,8487.053744,3.4182,0.0132,0.175274009,-0.0143,-0.1379,-0.101987198
INNALOO,-31.902092,115.798614,high,sensitive,1961,19242.06064,14350.65015,3.6753,0.0184,0.192711969,-0.0086,-0.1462,-0.04996248
INNISFAIL,-17.526965,146.028252,right,sensitive,1254,14508.18705,10872.52959,3.1986,0.102,0.283906942,0.0671,-0.1417,0.083530858
INTERNATIONAL - AIRSIDE,-33.929419,151.180532,right,not sensitive,2492,25069.14966,18855.78038,3.7212,-0.0114,0.121254634,-0.0357,-0.1183,-0.205653342
INTERNATIONAL ARRIVALS,-33.937441,151.164929,high,sensitive,1451,14655.16705,11011.2716,3.576,0.101,0.273759606,0.0642,-0.1356,-0.067074897
INVERELL,-29.772289,151.113962,right,sensitive,1794,18538.27296,13806.90992,3.3973,0.0344,0.174048476,0.0055,-0.119,-0.005189775
INVERMAY TAS,-41.427062,147.129822,low,not sensitive,2332,22799.16238,16723.98104,3.6683,0.0812,0.164523855,0.0617,-0.0716,0.009100022
IPSWICH CBD,-27.615231,152.75519,right,not sensitive,1783,18405.94325,13496.25624,3.2636,0.034,0.195951673,0.0037,-0.1355,-0.051199539
IPSWICH RIVERLINK,-27.608137,152.75887,right,sensitive,655,8262.285268,6081.620684,3.149,-0.0701,0.047511312,-0.0974,-0.1123,-0.197169743
IRYMPLE,-34.236825,142.172015,right,not sensitive,2018,21175.48643,15827.20046,4.1665,0.0495,0.104881741,0.0386,-0.0501,-0.031823968
JESMOND,-32.904596,151.688649,low,sensitive,331,3361.453856,2467.869544,2.699,0,0,0,0,0
JIMBOOMBA,-27.832407,153.027542,right,sensitive,1325,13993.21045,10421.7319,3.3365,0.0848,0.240674735,0.0513,-0.1257,0.03576405
JINDALEE,-27.535784,152.94831,high,not sensitive,2066,21032.5786,15620.59824,3.4677,-0.0039,0.090163513,-0.0325,-0.0863,-0.090455098
JOLIMONT,-31.947069,115.811868,low,insufficient,1468,14319.63566,10750.08838,3.9001,0.0124,0.094267442,-0.005,-0.0748,-0.047904857
JOONDALUP,-31.742532,115.764134,right,sensitive,1718,18011.89276,13580.37052,3.8107,-0.1607,-0.075151972,-0.1788,-0.0925,-0.214256793
KADINA,-33.964868,137.716068,right,not sensitive,1319,14174.60015,10447.91644,3.781,-0.0255,0.07453607,-0.0451,-0.0931,-0.115649783
KALGOORLIE CBD,-30.749875,121.467703,right,sensitive,1393,16246.89752,12306.24328,4.1459,0.0206,0.053848515,0.0089,-0.0315,-0.032663167
KALGOORLIE,-30.751392,121.479816,high,sensitive,1449,16865.6489,12769.69083,4.108,0.0971,0.150289219,0.0818,-0.0463,0.023091839
KALLANGUR,-27.249454,153.001541,high,sensitive,1616,16176.63643,11973.00103,3.4286,-0.0031,0.094967771,-0.0321,-0.0895,-0.025518672
KANGAROO FLAT,-36.799789,144.242808,right,sensitive,2163,20810.33285,15414.87454,3.7608,0.0039,0.111465982,-0.0171,-0.0968,-0.082992961
KANGAROO POINT,-27.483448,153.036107,high,sensitive,2447,22933.70918,17111.69002,3.5965,-0.0021,0.14847368,-0.0323,-0.1312,-0.064363918
KARINGAL HUB,-38.155084,145.164511,right,not sensitive,440,4776.713172,3501.593528,3.3341,-0.0938,-0.123571453,-0.1127,0.034,-0.117968387
KARINGAL,-38.152454,145.150028,insufficient,sensitive,1579,14483.95844,10680.90499,3.4842,-0.1316,-0.08072296,-0.1454,-0.0554,-0.125464246
KARRATHA,-20.735652,116.847274,low,not sensitive,2215,26620.03202,21391.85552,5.4634,0.0066,0.018153283,-0.0032,-0.0113,-0.041743254
KATHERINE NT,-14.464288,132.264498,right,not sensitive,1095,12653.72097,9706.911724,4.2102,0.0026,0.079583174,-0.0152,-0.0713,-0.05357424
KAWANA SHOPPINGWORLD II,-26.70319,153.130798,high,sensitive,388,5085.332736,3751.481608,2.8917,0.0576,0.178261216,0.0289,-0.1024,-0.12855377
KEILOR PARK,-37.718676,144.85181,high,sensitive,1270,11296.18714,8490.461332,3.6852,0.1643,0.302936783,0.1429,-0.1064,0.113543042
KELLYVILLE,-33.699977,150.928149,right,sensitive,2256,21664.36796,16331.9198,3.7419,-0.0159,0.060370283,-0.0244,-0.072,0.005961789
KELMSCOTT,-32.11824,116.016403,right,sensitive,1762,18323.90789,13730.08584,3.9499,0.0061,0.088187524,-0.0079,-0.0755,-0.037010766
KELSO,-33.419791,149.617666,right,sensitive,1303,12920.8924,9610.665088,3.7136,0.0045,0.113450426,-0.0198,-0.0978,-0.093332886
KEMPSEY,-31.076774,152.843416,high,sensitive,2116,21136.05184,15596.96364,3.4458,0.0622,0.232658476,0.0277,-0.1383,-0.041792069
KENMORE,-27.506878,152.949138,right,not sensitive,1411,13764.03183,10287.35724,3.5221,0.0073,0.073543823,-0.0142,-0.0617,-0.021138885
KEW,-37.807109,145.033109,right,not sensitive,992,9030.6022,6722.56598,3.5636,0.0097,0.083303059,-0.0077,-0.0679,-0.046782666
KEYSBOROUGH,-37.996792,145.173299,right,not sensitive,1720,16425.94724,12323.94586,3.7849,-0.009,0.096716784,-0.0311,-0.0964,-0.072816142
KILSYTH,-37.821941,145.303588,low,not sensitive,1632,13257.99322,9884.429684,3.6353,-0.012,0.05661235,-0.0329,-0.065,-0.093658221
KINCUMBER,-33.468337,151.38315,high,sensitive,1629,15709.43226,11727.50253,3.3696,0,0,0,0,0
"KING STREET, NCLE",-32.928392,151.76397,high,sensitive,3000,28801.32118,21421.53933,3.407,0.074,0.224487313,0.0432,-0.1229,0.009311767
KINGAROY,-26.539223,151.836036,right,sensitive,1547,17244.56236,12833.81876,3.5555,-0.0309,0.083439776,-0.0557,-0.1056,-0.144892975
KINGS CROSS,-33.873606,151.223547,high,not sensitive,1399,12916.94702,9632.83084,3.5702,-0.0637,0.054702342,-0.0835,-0.1123,-0.219458102
KINGS MEADOWS TAS,-41.470585,147.159789,low,not sensitive,1939,19116.7496,14028.82461,3.6805,0.0749,0.084272089,0.0735,-0.0086,0.02710649
KINGS PARK,-33.744222,150.91613,low,not sensitive,1711,16414.93029,12236.12444,3.6281,0.0261,0.12925836,0.0095,-0.0914,-0.056849953
KINGSBURY,-37.718815,145.041023,right,sensitive,1609,15196.51367,11260.93069,3.6109,0.0502,0.161163114,0.0327,-0.0956,0.014064161
KINGSFORD,-33.919884,151.227382,low,not sensitive,3251,30607.83275,22786.61903,3.8192,-0.0243,0.129704316,-0.0457,-0.1363,-0.142171434
KINGSTON TAS,-42.978386,147.302255,right,not sensitive,1770,16654.68318,12334.16124,3.784,0.0126,0.05535745,0.0013,-0.0405,0.029220314
KIRRAWEE,-34.031973,151.07369,right,not sensitive,2932,28034.05126,20876.96845,3.6881,0.0264,0.096900606,0.0074,-0.0643,-0.03381635
KNOX CITY,-37.869528,145.2398,high,sensitive,645,7438.925872,5519.999824,3.4242,-0.0711,-0.061605046,-0.0834,-0.0101,-0.144244323
KNOXFIELD,-37.899046,145.243466,right,not sensitive,1346,11444.3862,8569.317424,3.7483,0.0089,0.053547692,-0.006,-0.0424,-0.015756769
KOTARA F/C II,-32.94406,151.710848,right,sensitive,492,6082.246188,4453.94984,3.2563,-0.026,0.078986907,-0.0519,-0.0973,-0.211195159
KOTARA,-32.941838,151.708723,high,sensitive,1115,10409.42772,7728.743888,3.4543,0.1035,0.147487273,0.0847,-0.0383,0.036536934
KULUIN,-26.661311,153.051208,right,sensitive,1686,17284.2289,12949.8529,3.7244,0.0135,0.050306263,-0.0025,-0.035,0.003239679
KURRI KURRI,-32.819527,151.483666,right,sensitive,1506,15074.83162,11152.80653,3.3973,-0.0339,0.103648265,-0.0599,-0.1247,-0.087958341
KWINANA,-32.244918,115.812835,low,not sensitive,2036,21515.20944,15953.54048,3.6895,-0.011,0.108216122,-0.036,-0.1076,-0.07501324
LABRADOR,-27.956408,153.408936,right,not sensitive,2062,20748.13306,15476.63839,3.3181,0.0272,0.154751815,-0.0016,-0.1105,-0.000658147
LAKEHAVEN,-33.243204,151.505418,low,sensitive,3450,34696.2405,25693.03553,3.3423,-0.0344,0.157559714,-0.0561,-0.1658,-0.139288805
LAKEMBA,-33.927245,151.085212,high,sensitive,2188,21532.84136,15875.82896,3.676,0.0524,0.20745592,0.0319,-0.1285,-0.109115211
LAKES ENTRANCE,-37.882509,147.985509,right,sensitive,1245,14197.49808,10527.29946,3.4122,-0.002,0.113630465,-0.0268,-0.1039,-0.095213675
LANDSDALE,-31.814611,115.82176,high,sensitive,1974,20584.20603,15502.57399,3.843,0.2207,0.311697977,0.1943,-0.0694,0.180317783
LANSVALE,-33.897353,150.953335,high,sensitive,1564,15155.11993,11287.10798,3.6437,0.0902,0.183876331,0.0752,-0.0791,0.023564423
LAVERTON NORTH,-37.843518,144.781275,high,sensitive,1592,13318.1462,9873.005024,3.621,0.0834,0.170952125,0.0717,-0.0748,0.109471904
LAVERTON,-37.871291,144.760218,high,sensitive,2473,22032.86468,16443.61437,3.5645,0.0692,0.176746796,0.0554,-0.0914,0.053703227
LAVINGTON,-36.047134,146.939401,low,not sensitive,2047,19538.29787,14509.58092,3.7085,-0.0481,0.059121653,-0.0698,-0.1012,-0.099170097
LEETON,-34.55137,146.399465,right,sensitive,1083,11530.29289,8603.49622,3.5534,0.0152,0.120001117,-0.006,-0.0935,-0.09867907
LEONGATHA,-38.478055,145.944999,high,sensitive,1853,17957.1791,13382.52186,3.6539,-0.0397,0.028189895,-0.058,-0.066,-0.063921601
LEOPOLD,-38.186598,144.455248,insufficient,sensitive,1880,17084.40342,12544.6406,3.5102,0.0689,0.101405212,0.0565,-0.0295,0.085943922
LIDCOMBE,-33.866636,151.041661,low,not sensitive,2607,23156.63752,17062.66363,3.7847,0.019,0.167735766,-0.0007,-0.1274,-0.049466736
LILYDALE,-37.759072,145.355291,right,not sensitive,2512,23635.873,17516.60786,3.6346,-0.001,0.062908363,-0.0126,-0.0601,-0.077471591
LISAROW,-33.385377,151.365958,right,sensitive,1117,11063.042,8267.23586,3.5173,0.0606,0.151626608,0.0376,-0.0791,-0.014730789
LISMORE,-28.8084,153.286032,right,sensitive,1592,17675.07108,13112.88896,3.2763,-0.0133,0.147964433,-0.0337,-0.1405,-0.131669947
LISMORE SQUARE SC,-28.810481,153.286792,right,sensitive,637,7020.06258,5163.553596,3.1976,-0.0047,0.095146263,-0.035,-0.0911,-0.097794065
LITHGOW,-33.481034,150.137388,insufficient,sensitive,3253,30198.67927,22563.85348,3.7043,0.0092,0.08284845,-0.0135,-0.068,-0.089204652
LIVERPOOL F/C II,-33.919791,150.923652,right,sensitive,1036,12456.49058,9244.932532,3.0834,-0.0228,0.10097446,-0.0458,-0.1124,-0.159978234
LIVERPOOL MEGA CENTRE,-33.907607,150.919033,high,not sensitive,2214,21629.54248,15973.553,3.5216,0.1242,0.277953895,0.1084,-0.1203,0.042823884
LIVERPOOL SOUTH,-33.930986,150.917878,right,sensitive,1420,13854.00859,10178.79043,3.4394,0.0162,0.114133524,0.0059,-0.0879,-0.076057917
LIVERPOOL WEST,-33.91785,150.912191,right,sensitive,1168,11920.7498,8763.686188,3.3434,0.0568,0.14254064,0.0422,-0.0751,-0.062728737
LOGAN CENTRAL,-27.64189,153.106693,right,not sensitive,2143,21646.59917,15779.65056,3.3514,0.0911,0.20455105,0.0566,-0.0942,0.045671635
LOGAN HYPERDOME,-27.658963,153.170743,right,sensitive,641,8373.27156,6105.609644,2.918,-0.067,0.071343997,-0.0904,-0.1292,-0.153539787
LOGANHOLME II,-27.663599,153.179048,high,sensitive,2136,21459.36608,15960.71973,3.4664,0.0591,0.126956522,0.0392,-0.0603,0.022458349
LOGANLEA,-27.668126,153.139084,right,not sensitive,1608,16609.79733,12341.02348,3.3286,0.1167,0.302963462,0.0855,-0.143,0.037439649
LOWER TEMPLESTOWE,-37.775204,145.113296,low,not sensitive,1453,13217.0917,9773.526168,3.6395,0.0299,0.098744429,0.0192,-0.0627,-0.018655794
LUDMILLA NT,-12.409965,130.855714,right,not sensitive,2108,21456.08706,16395.10771,4.1267,-0.0412,-0.013721849,-0.0579,-0.0279,-0.091034426
LYNDHURST,-38.080483,145.240592,high,sensitive,988,9240.188828,6711.84202,3.5908,-0.0491,0.002550638,-0.0746,-0.0515,-0.083715331
M4 EAST (CITY BOUND),-33.801665,150.886005,right,sensitive,2060,19010.1101,14251.08041,3.4773,0.0308,0.165807252,0.0054,-0.1158,-0.031036126
M4 WEST,-33.802448,150.882744,right,not sensitive,2880,27607.19549,20536.39677,3.5365,0.0293,0.163983304,0.0037,-0.1157,-0.061482987
MACARTHUR SQUARE II,-34.07351,150.797451,low,sensitive,723,8396.194488,6131.5504,3.2228,-0.0812,0.037808689,-0.1051,-0.1146,-0.163308955
MACKAY EAST,-21.147766,149.185876,high,sensitive,2253,23601.98246,17344.74746,3.3496,-0.0051,0.17753052,-0.0449,-0.1551,-0.117844547
MACKAY FOOD COURT II,-21.139339,149.178662,right,sensitive,583,7085.992636,5185.457728,3.2107,-0.0745,0.103658033,-0.1148,-0.1614,-0.178532032
MACKAY NORTH,-21.130009,149.162692,low,not sensitive,2874,29851.54422,22020.57784,3.6448,-0.1053,0.020759384,-0.139,-0.1235,-0.183230981
MACKAY NORTHERN BEACHES,-21.064411,149.161042,right,sensitive,1563,16168.41262,11823.2684,3.4184,-0.0086,0.169498378,-0.0508,-0.1523,0.023776101
MACQUARIE,-33.779055,151.117063,high,sensitive,977,11388.23013,8382.969072,3.3323,0.0558,0.214385774,0.0378,-0.1306,-0.195200835
MADDINGTON,-32.051173,115.9834,low,not sensitive,2057,21990.44295,16479.22422,3.691,-0.2016,-0.087189232,-0.2161,-0.1254,-0.275737377
MAITLAND EAST,-32.765288,151.591269,right,sensitive,2245,22041.4714,16386.52064,3.4947,0.0254,0.165749752,0.0011,-0.1204,-0.026715181
MAITLAND F/C,-32.764426,151.590089,right,sensitive,546,6401.823696,4738.642532,3.1926,-0.0554,0.103770545,-0.0866,-0.1442,-0.19958883
MAJURA PARK ACT,-35.295866,149.189872,right,sensitive,1379,13068.24631,9801.75864,3.7144,-0.002,0.104317589,-0.0192,-0.0962,-0.034329347
MALVERN EAST,-37.876093,145.047968,right,sensitive,919,8363.31358,6242.170292,3.6804,0.0123,0.166990933,-0.0084,-0.1326,-0.028420863
MANDURAH FORUM,-32.537715,115.73977,high,sensitive,3151,32063.5629,23824.24726,3.7148,0.144,0.310617284,0.1105,-0.1272,0.135404893
MANLY WHARF II,-33.7996,151.285,high,sensitive,811,8845.672992,6501.065272,2.8583,0.0922,0.186627031,0.0614,-0.0796,-0.126507967
MANOORA,-16.912687,145.740049,right,not sensitive,1545,17203.19825,12829.49998,3.2906,0.0401,0.229978265,0.0095,-0.1544,-0.077194842
MANOR LAKES,-37.87755,144.614054,high,sensitive,1484,14842.84218,11007.72515,3.7609,0.1466,0.272136125,0.115,-0.0987,0.115875646
MANUKA ACT,-35.321297,149.133693,right,not sensitive,1268,13452.20311,10015.69728,3.8455,0.002,0.086948615,-0.0172,-0.0782,-0.085772011
MAREEBA,-16.997075,145.423317,right,sensitive,1228,13951.54329,10463.21217,3.4152,0.1144,0.270241434,0.0893,-0.1227,-0.030528087
MARINA MIRAGE,-27.968151,153.426765,low,not sensitive,678,7640.56392,5645.338372,3.2779,-0.1351,-0.06369857,-0.1553,-0.0763,-0.302740545
MARION FOOD COURT,-35.017859,138.544785,right,sensitive,562,6918.198588,5090.899532,3.3285,-0.0679,0.101945481,-0.0915,-0.1541,-0.213572485
MAROOCHYDORE II,-26.661624,153.102405,right,sensitive,2026,21287.81573,15953.34264,3.3707,0.0017,0.061868534,-0.0175,-0.0567,-0.045845352
MAROUBRA,-33.941836,151.23898,right,sensitive,874,7964.83504,5911.633468,3.4226,0.0897,0.154841288,0.0724,-0.0564,0.030520034
MARRICKVILLE METRO,-33.907226,151.171616,low,sensitive,500,5467.444372,4041.224344,2.9671,-0.0306,0.026786371,-0.0515,-0.0559,-0.078434666
MARSDEN,-27.681107,153.115549,high,sensitive,2141,21760.75001,15791.71482,3.3502,0.0563,0.253424481,0.0249,-0.1573,0.017093636
MARTIN PLACE,-33.86775,151.210222,right,sensitive,574,5384.86148,3998.449972,3.5244,0,0,0,0,0
MARYBOROUGH,-25.536913,152.694958,right,sensitive,2245,21072.52363,15541.55646,3.4932,0.0663,0.180161106,0.0326,-0.0965,0.058325871
MARYBOROUGH,-37.049045,143.743011,right,sensitive,1055,10418.36381,7748.378636,3.5826,0.0208,0.124350866,0.0006,-0.0921,0.022231928
MASTERS BRAYBROOK,-37.778196,144.849962,high,sensitive,155,1388.496184,1036.611512,3.4307,-0.1111,-0.034075766,-0.129,-0.0797,-0.222016079
MASTERS GREGORY HILLS,-34.022277,150.760211,low,sensitive,225,1992.000968,1500.519412,3.1487,-0.1751,-0.070474057,-0.1965,-0.1126,-0.273202159
MASTERS NERANG,-28.010806,153.344292,low,not sensitive,191,1683.4412,1266.133096,3.3932,-0.3202,-0.264176275,-0.3435,-0.0761,-0.382286147
MASTERS SPRINGFIELD,-27.678561,152.898327,low,not sensitive,289,2728.591236,2036.843672,3.3394,-0.2188,-0.2234709,-0.2398,0.006,-0.248486316
MAYFIELD EAST,-32.900321,151.752829,low,sensitive,1432,12853.20217,9578.26024,3.5326,0.1879,0.280215985,0.1696,-0.0721,0.136501858
MAYFIELD,-32.899634,151.740054,high,sensitive,1427,13038.53568,9610.779084,3.2336,-0.0487,0.124259614,-0.0697,-0.1538,-0.11589896
MAYLANDS,-31.930258,115.89564,right,not sensitive,1684,16535.35026,12358.15107,3.7359,0.0876,0.212438382,0.0706,-0.103,0.046206103
MCWHIRTERS II,-27.457807,153.034339,low,not sensitive,910,8140.091296,6168.78646,3.6254,0.0738,0.073781005,0.066,0,-0.085428188
MELB AIRPORT II,-37.672297,144.852639,high,sensitive,1774,15488.98958,11827.98408,3.8743,0.039,0.090867871,0.0298,-0.0475,0.073613795
MELBOURNE AIRPORT,-37.671674,144.848505,high,sensitive,2821,26222.49391,19839.07895,3.5519,-0.0367,0.012811811,-0.0592,-0.0488,-0.101076187
MELBOURNE CENTRAL II,-37.81166,144.961669,low,not sensitive,656,6316.858428,4718.70736,2.9799,0.0845,0.15748342,0.0685,-0.063,0.063816681
MELBOURNE CENTRAL UPPER,-37.811661,144.963112,right,sensitive,578,6346.911076,4754.121908,3.4297,-0.0022,0.185281489,-0.0206,-0.1582,-0.191253264
MELROSE PARK,-34.984392,138.572837,right,not sensitive,1431,14432.48331,10785.33,3.6371,0.0751,0.185627434,0.055,-0.0933,-0.032932316
MELTON EAST,-37.690852,144.603128,right,sensitive,1870,16574.8307,12412.181,3.6843,0.099,0.261377362,0.079,-0.1287,0.047722732
MELTON,-37.688856,144.566547,low,not sensitive,2868,26327.3761,19651.90673,3.8571,0.0918,0.187446661,0.0735,-0.0805,0.104990119
MELVILLE,-32.045537,115.817949,right,sensitive,2098,21682.362,16411.56622,3.7968,0.0374,0.121344141,0.0215,-0.0749,-0.024629794
MENAI,-34.015091,151.013845,high,sensitive,1636,16370.37524,12259.06482,3.5235,0.0987,0.210803276,0.0771,-0.0926,0.021466698
MERIMBULA,-36.889891,149.910513,right,sensitive,1612,15880.84828,11678.36196,3.334,-0.0575,0.033283519,-0.0752,-0.0878,-0.139817282
MERMAIDTERS,-28.044223,153.407586,right,not sensitive,1466,13796.00376,10270.10745,3.2594,0.0161,0.137443075,-0.0109,-0.1067,-0.043304507
MERRIMAC,-28.046194,153.366807,right,sensitive,1152,10971.52981,8165.100308,3.3865,0.0385,0.080335089,0.0158,-0.0387,-0.013113281
MERRYLANDS FC II,-33.834985,150.988766,right,sensitive,565,7446.174804,5535.228516,3.1293,-0.0634,0.091313057,-0.0823,-0.1417,-0.281123886
MERRYLANDS,-33.834501,150.968563,right,sensitive,1766,17188.27429,12743.19068,3.6914,0.0541,0.227699287,0.0415,-0.1414,-0.045589383
MIDLAND,-31.893106,116.012108,right,sensitive,1759,17428.24694,12931.19561,3.7287,-0.0888,0.025157233,-0.1139,-0.1112,-0.111526649
MIDVALE,-31.885118,116.032323,low,not sensitive,1831,18962.30724,14143.83185,3.7357,0.0305,0.176351792,0.015,-0.124,-0.016330476
MILDURA,-34.192571,142.154559,high,not sensitive,2513,25827.99987,19305.56743,4.0717,0.0224,0.022744033,0.0125,-0.0003,0.005116433
MILL PARK,-37.659426,145.075765,low,not sensitive,2861,25360.9923,18976.64662,3.7163,-0.0553,0.049064213,-0.0743,-0.0995,-0.037749243
MILPERRA,-33.930452,150.996304,high,sensitive,1481,14270.31634,10637.1206,3.6936,0.2198,0.443767304,0.197,-0.1552,0.103660455
MILTON,-27.467443,153.008026,right,not sensitive,2767,26464.0956,19916.70873,3.7889,-0.0002,0.099184495,-0.0225,-0.0904,-0.038584938
MINCHINBURY,-33.782235,150.819146,right,not sensitive,2297,23305.7144,17411.18888,3.7399,0.0523,0.18843751,0.0375,-0.1146,-0.054539716
MINDARIE,-31.678768,115.708848,right,sensitive,1859,18870.23698,14239.0056,3.8376,-0.0547,0.062367754,-0.0739,-0.1102,-0.093500339
MINGARA,-33.362531,151.443708,right,sensitive,2485,24134.35326,18092.09507,3.3709,0.1034,0.183901505,0.0832,-0.068,0.034830333
MINTO,-34.030349,150.848338,right,sensitive,1754,18138.05267,13445.97051,3.5774,0.0658,0.260258007,0.0413,-0.1543,-0.049837183
MINYAMA,-26.701517,153.125719,right,sensitive,1475,15375.26882,11407.45155,3.3874,-0.007,0.083823661,-0.0297,-0.0838,-0.023359978
MIRANDA F/C LVL 1,-34.035954,151.102985,high,sensitive,800,9818.962832,7256.61882,3.0238,0.1333,0.243801914,0.1087,-0.0889,-0.010387012
MITCHELL ACT,-35.230473,149.150726,right,sensitive,1489,13747.01988,10217.79893,3.7287,0.0658,0.182714371,0.0409,-0.0988,-0.019109956
MITTAGONG,-34.45172,150.44287,high,sensitive,2567,24117.94924,17984.62706,3.7678,0.0491,0.084846715,0.0317,-0.0329,0.045764118
MOE,-38.186855,146.233922,right,not sensitive,1787,16213.55422,12082.10137,3.6956,0.0175,0.094241141,-0.0027,-0.0702,-0.00999471
MOOLOOLABA JUNCTION,-26.683624,153.117651,right,not sensitive,1272,14079.20331,10487.66368,3.1324,0.0451,0.248771231,0.0097,-0.1631,-0.029841094
MOONAH TAS,-42.843174,147.290173,right,sensitive,2190,20414.94336,15034.55265,3.7436,0.1017,0.186562957,0.0817,-0.0716,0.051699949
MOOREBANK,-33.928963,150.947627,high,sensitive,2048,18806.72655,13922.23115,3.5238,0.0556,0.149243302,0.0378,-0.0815,-0.001903823
MOOROOLBARK,-37.791592,145.308887,low,not sensitive,2069,18462.44844,13656.46825,3.6167,0.0563,0.140652584,0.0406,-0.0739,-0.032274164
MOOROOPNA,-36.394623,145.357625,right,sensitive,1767,17814.28998,13279.23566,3.7232,0.0551,0.153953483,0.0373,-0.0857,0.021199173
MORANBAH,-22.011102,148.042689,right,sensitive,1383,14364.9627,11017.17008,3.9513,-0.044,0.07409214,-0.0646,-0.11,-0.020315832
MORAYFIELD,-27.104659,152.94846,right,sensitive,570,6837.339508,4961.509712,3.0544,-0.076,0.049566835,-0.1071,-0.1196,-0.163139165
MOREE,-29.472878,149.842559,right,sensitive,1535,15698.7093,11794.9949,3.6145,0.0112,0.12391038,-0.0148,-0.1002,-0.089249676
MORISSET,-33.11134,151.48231,high,sensitive,1745,17282.04331,13111.29857,3.487,0.1076,0.198539627,0.0928,-0.0759,-0.014329009
MORLEY FOOD COURT,-31.898473,115.898652,right,sensitive,457,5784.19358,4320.581468,3.2313,0.0131,0.237604125,-0.0129,-0.1814,-0.160331793
MORLEY,-31.893989,115.900037,high,sensitive,1911,19771.27621,14763.37537,3.7047,0.0383,0.168666718,0.0188,-0.1115,-0.058515575
MORNINGTON,-38.231339,145.04241,low,not sensitive,2513,23860.28967,17782.58116,3.6423,0.0059,0.070865043,-0.0118,-0.0606,-0.057343291
MORWELL,-38.242796,146.41809,right,not sensitive,2307,21225.3802,15807.58621,3.7516,0.018,0.08496398,-0.0039,-0.0617,0.031550636
MOUNT ANNAN,-34.049078,150.760414,high,sensitive,2228,20197.159,15066.16291,3.4915,0.1471,0.23165524,0.1253,-0.0687,0.093021639
